catalog_evidence,digest,duplicate_of,error,observations,observed_at,parser,parser_version,reason,snapshot_id,source,status,target_id,timestamp,url
archive_query:8c6aa7812df60012d9de9e66326d9b6fb1be9d00f3256df3e4b5eb50478db962,6EYWE6IXKFYY6CZT7LD33QYZP5HU4MMO,,,0,2024-03-01T10:04:53+00:00,wsdc_calendar.events,7,,snap_20260913T055231Z_944fac6ee688,wsdc_calendar,empty,3ebd718fab335d02de957adc,20240301100453,https://www.worldsdc.com/print-event-list/
archive_query:acb6968299105098fb095768e7a6c6661e62b4d85ef3140df78c2ec9c60954e6,KBSMMHYMNI567LIIYPKRMJVR46BJB745,,,150,2024-12-01T20:59:08+00:00,wsdc_calendar.events,7,,snap_20260913T055402Z_7d4968c3ecb5,wsdc_calendar,parsed,3f935d21af9d5c85a2a0f4c1,20241201205908,https://www.worldsdc.com/events/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,50,2019-07-23T19:08:03+00:00,wsdc_calendar.events,7,,snap_20260913T051403Z_4fc4f0e6850e,wsdc_calendar,parsed,40eb9561c4c5830abbc35fe1,20190723190803,https://www.worldsdc.com/events/
snap_20260913T052900Z_00e38790862b,,,,36,2026-09-13T05:34:35.494691+00:00,wsdc_newsletter.events,6,,snap_20260913T053435Z_ed5072b4dea1,wsdc_newsletter,parsed,41a01dbd519400746ec38193,,http://www.worldsdc.com/wp-content/uploads/2024/01/WSDC-Newsletter-Vol-29-1-5-2024-3.0.pdf
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,0,2019-10-18T05:40:54+00:00,wsdc_calendar.events,7,,snap_20260913T051543Z_9faa8b6e64fb,wsdc_calendar,empty,44f31ddd39f7d6619f0b3d61,20191018054054,https://www.worldsdc.com/print-event-list/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,event-list parser failed; see archived body and parse finding,,,wsdc_calendar.events,,,snap_20260913T051034Z_c954a81d470a,wsdc_calendar,finding,4524f01e997c4e2f34e9ad8b,20160710033710,http://www.worldsdc.com:80/events-map/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,498,2019-07-23T19:08:18+00:00,wsdc_calendar.events,7,,snap_20260913T051414Z_230c96e1715b,wsdc_calendar,parsed,45af6af9a8be9960552c707c,20190723190818,https://www.worldsdc.com/event-calendar/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,120,2016-11-09T22:23:49+00:00,wsdc_calendar.events,7,,snap_20260913T051143Z_6b6aaa3dbfe7,wsdc_calendar,parsed,45e7d60cf892aa442bc764ee,20161109222349,http://www.worldsdc.com:80/event-calendar/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,DIDQRO5D34TJS43T4U27M2J3BES3MK7G,,,70,2012-04-20T16:44:19+00:00,swingdancecouncil.events,2,,snap_20260913T050633Z_04b39eb0707f,swingdancecouncil,parsed,47f1ac998519d3f7644d88b2,20120420164419,http://www.swingdancecouncil.com:80/ActiveServerPages/UpcomingEvents.asp
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,105,2019-03-10T13:20:09+00:00,wsdc_calendar.events,7,,snap_20260913T051304Z_3756295e9347,wsdc_calendar,parsed,4be94dc731c74085b7df239a,20190310132009,https://www.worldsdc.com/events-map/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,57,2022-01-18T18:45:18+00:00,wsdc_calendar.events,7,,snap_20260913T052453Z_bdd9dba0eb29,wsdc_calendar,parsed,4fd89f041cf69030bfb47716,20220118184518,https://www.worldsdc.com/events-map/
snap_20260913T052900Z_00e38790862b,,,,37,2026-09-13T05:33:03.180965+00:00,wsdc_newsletter.events,6,,snap_20260913T053303Z_220a0f22f0f6,wsdc_newsletter,parsed,50d5b572f43b42b244112e92,,http://www.worldsdc.com/wp-content/uploads/2021/02/WSDC-Newsleter-Vol-13-1-6-2020.pdf
