evidence_json,kind,owner_id,owner_kind,snapshot_id,subject_id,subject_kind,suggested_override,summary
"{""candidates"":[],""printed_name"":""TAF German Masters West Coast Swing Nord 2019"",""year"":2019}",series_alias,2019,history_year,snap_20260910T032911Z_34e948f7fea1,2019-09:taf-german-masters-west-coast-swing-nord,history_listing,"TAF German Masters West Coast Swing Nord 2019,listed-taf-german-masters-west-coast-swing-nord,scoringdance,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""BOOGIE BY THE BAY (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053204Z_ea0a1cfa6f68,2019-10:boogie-by-the-bay-nasde,history_listing,"BOOGIE BY THE BAY (NASDE),listed-boogie-by-the-bay-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[""wsdc-325"",""wsdc-330""],""printed_name"":""SIMPLY ADELAIDE WEST COAST SWING"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053204Z_ea0a1cfa6f68,2019-11:simply-adelaide-west-coast-swing,history_listing,"SIMPLY ADELAIDE WEST COAST SWING,listed-simply-adelaide-west-coast-swing,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Simply Adelaide West Coast Swing (Trial)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T051644Z_dd7f13d8db52,2019-11:simply-adelaide-west-coast-swing-trial,history_listing,"Simply Adelaide West Coast Swing (Trial),listed-simply-adelaide-west-coast-swing-trial,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""TAF Deutsche Meisterschaft West Coast Swing 2019"",""year"":2019}",series_alias,2019,history_year,snap_20260910T060446Z_9e025464dbfa,2019-11:taf-deutsche-meisterschaft-west-coast-swing,history_listing,"TAF Deutsche Meisterschaft West Coast Swing 2019,listed-taf-deutsche-meisterschaft-west-coast-swing,scoringdance,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""TAMPA BAY CLASSIC (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053204Z_ea0a1cfa6f68,2019-11:tampa-bay-classic-nasde,history_listing,"TAMPA BAY CLASSIC (NASDE),listed-tampa-bay-classic-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""WESTIE ANGELS"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053204Z_ea0a1cfa6f68,2019-11:westie-angels,history_listing,"WESTIE ANGELS,listed-westie-angels,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Westies on the Water (Trial)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T051644Z_dd7f13d8db52,2019-11:westies-on-the-water-trial,history_listing,"Westies on the Water (Trial),listed-westies-on-the-water-trial,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""FLOOR PLAY NEW YEARS SWING VACATION"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053204Z_ea0a1cfa6f68,2019-12:floor-play-new-years-swing-vacation,history_listing,"FLOOR PLAY NEW YEARS SWING VACATION,listed-floor-play-new-years-swing-vacation,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""US OPEN SWING DANCE CHAMPIONSHIPS (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053204Z_ea0a1cfa6f68,2019-12:us-open-swing-dance-championships-nasde,history_listing,"US OPEN SWING DANCE CHAMPIONSHIPS (NASDE),listed-us-open-swing-dance-championships-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Austin Swing Dance Championships (Cancelled due to Covid-19)"",""year"":2020}",series_alias,2020,history_year,snap_20260913T052054Z_f2004ad7080a,2020-01:austin-swing-dance-championships-cancelled-due-to-covid-19,history_listing,"Austin Swing Dance Championships (Cancelled due to Covid-19),listed-austin-swing-dance-championships-cancelled-due-to-covid-19,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
