denominator_valid,detail_rows,detail_to_entry_ratio,entry_count,judge_count,mark_matrix_coverage,mark_matrix_denominator,marks,round_id,round_type,source
True,70,1.0,70,8,0.375,560,210,2024-09-retaliation-swing/novice-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-09-retaliation-swing/strictly-retaliation/final,final,scoringdance
True,19,1.0,19,6,0.833333,114,95,2024-09-retaliation-swing/strictly-retaliation/prelim,prelim,scoringdance
True,10,0.5,20,8,0.875,80,70,2024-10-scandinavian-open-wcs-snow/advanced-jj/final,final,scoringdance
True,55,0.887097,62,9,0.50101,495,248,2024-10-scandinavian-open-wcs-snow/advanced-jj/prelim,prelim,scoringdance
True,10,0.5,20,8,0.875,80,70,2024-10-scandinavian-open-wcs-snow/allstar-jj/final,final,scoringdance
True,33,0.942857,35,9,0.47138,297,140,2024-10-scandinavian-open-wcs-snow/allstar-jj/prelim,prelim,scoringdance
True,15,0.5,30,8,0.875,120,105,2024-10-scandinavian-open-wcs-snow/intermediate-jj/final,final,scoringdance
True,112,0.933333,120,9,0.472222,1008,476,2024-10-scandinavian-open-wcs-snow/intermediate-jj/prelim,prelim,scoringdance
True,50,0.78125,64,9,0.568889,450,256,2024-10-scandinavian-open-wcs-snow/intermediate-jj/semifinal,semifinal,scoringdance
True,13,0.5,26,6,0.833333,78,65,2024-10-scandinavian-open-wcs-snow/intermediate-strictly/final,final,scoringdance
True,32,1.0,32,8,0.875,256,224,2024-10-scandinavian-open-wcs-snow/intermediate-strictly/prelim,prelim,scoringdance
True,15,0.5,30,8,0.875,120,105,2024-10-scandinavian-open-wcs-snow/newcomer-jj/final,final,scoringdance
True,79,0.918605,86,9,0.483826,711,344,2024-10-scandinavian-open-wcs-snow/newcomer-jj/prelim,prelim,scoringdance
True,47,0.903846,52,9,0.491726,423,208,2024-10-scandinavian-open-wcs-snow/newcomer-jj/semifinal,semifinal,scoringdance
True,15,0.5,30,8,0.875,120,105,2024-10-scandinavian-open-wcs-snow/novice-jj/final,final,scoringdance
True,248,1.0,248,9,0.444444,2232,992,2024-10-scandinavian-open-wcs-snow/novice-jj/prelim,prelim,scoringdance
True,84,0.954545,88,9,0.465608,756,352,2024-10-scandinavian-open-wcs-snow/novice-jj/semifinal,semifinal,scoringdance
True,14,0.5,28,8,0.875,112,98,2024-10-scandinavian-open-wcs-snow/novice-strictly/final,final,scoringdance
True,37,1.0,37,8,0.875,296,259,2024-10-scandinavian-open-wcs-snow/novice-strictly/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-10-scandinavian-open-wcs-snow/open-strictly/final,final,scoringdance
True,22,1.0,22,8,0.875,176,154,2024-10-scandinavian-open-wcs-snow/open-strictly/prelim,prelim,scoringdance
True,15,0.5,30,8,0.875,120,105,2024-10-scandinavian-open-wcs-snow/sophisticated-jj/final,final,scoringdance
True,85,0.955056,89,11,0.475936,935,445,2024-10-scandinavian-open-wcs-snow/sophisticated-jj/prelim,prelim,scoringdance
True,53,0.946429,56,11,0.480274,583,280,2024-10-scandinavian-open-wcs-snow/sophisticated-jj/semifinal,semifinal,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-10-scandinavian-open-wcs-snow/swedish-fox/final,final,scoringdance
True,35,0.853659,41,7,0.502041,245,123,2024-10-scandinavian-open-wcs-snow/swedish-fox/prelim,prelim,scoringdance
True,5,0.5,10,6,0.833333,30,25,2024-10-wcs-festival-dusseldorf/advanced-jj/final,final,scoringdance
True,27,0.9,30,7,0.47619,189,90,2024-10-wcs-festival-dusseldorf/advanced-jj/prelim,prelim,scoringdance
True,7,0.5,14,6,0.833333,42,35,2024-10-wcs-festival-dusseldorf/allstar-jj/final,final,scoringdance
True,14,1.0,14,7,0.428571,98,42,2024-10-wcs-festival-dusseldorf/allstar-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-10-wcs-festival-dusseldorf/intermediate-jj/final,final,scoringdance
True,39,0.906977,43,7,0.472527,273,129,2024-10-wcs-festival-dusseldorf/intermediate-jj/prelim,prelim,scoringdance
True,9,0.5,18,6,0.833333,54,45,2024-10-wcs-festival-dusseldorf/intermediate-strictly/final,final,scoringdance
True,6,0.5,12,6,0.833333,36,30,2024-10-wcs-festival-dusseldorf/jj-switch/final,final,scoringdance
True,19,0.95,20,6,0.833333,114,95,2024-10-wcs-festival-dusseldorf/jj-switch/prelim,prelim,scoringdance
