watch_id,source_ref,url,notes,last_checked_at,next_check_at
838965394a8b25ac,wsdc:5372,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-11T05:46:49.272872+00:00,2026-09-12T05:46:49.272872+00:00
53a1a6efa873c9c0,wsdc:619,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:07:03.408267+00:00,2026-09-11T04:20:01.817709+00:00
4c0e95a04d7071d8,wsdc:6204,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-summer-hummer,2026-09-10T11:11:03.667559+00:00,2026-09-11T11:11:03.667559+00:00
12a5770a867d6810,wsdc:6761,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-11T16:13:35.047498+00:00,2026-09-12T16:13:35.047498+00:00
b440f4a2f0a8daa7,wsdc:6816,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:05:03.254632+00:00,2026-09-11T04:19:58.467025+00:00
0d74b8099d6486d4,wsdc:6916,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-summer-hummer,2026-09-10T11:07:53.461187+00:00,2026-09-11T04:20:04.279933+00:00
abc48ec861ec8fa5,wsdc:7166,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:04:48.117884+00:00,2026-09-11T04:19:58.467025+00:00
bbe30641a97a69b8,wsdc:7246,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-11T16:29:47.920548+00:00,2026-09-12T16:29:47.920548+00:00
7de017a8d8ce67da,wsdc:7299,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-11T16:31:34.660737+00:00,2026-09-12T16:31:34.660737+00:00
6a24d3ce43a50693,wsdc:7562,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:03:23.003901+00:00,2026-09-11T11:03:23.003901+00:00
6c5cb3e1ed53a820,wsdc:764,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-summer-hummer,2026-09-10T11:07:13.384222+00:00,2026-09-11T04:20:04.279933+00:00
4a73d18f981aa55d,wsdc:7836,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:10:48.640417+00:00,2026-09-10T14:53:17.738805+00:00
493a6dc96a05dcae,wsdc:7856,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:10:38.641378+00:00,2026-09-10T14:53:17.738805+00:00
9be5332d65c3dd6e,wsdc:8213,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:04:33.087981+00:00,2026-09-11T04:19:58.467025+00:00
471007923985be68,wsdc:8774,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:10:33.617758+00:00,2026-09-10T14:53:17.738805+00:00
0bcdda6f63f2c638,wsdc:9053,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:07:43.412681+00:00,2026-09-11T04:20:01.817709+00:00
1e90909359a322ca,wsdc:9139,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:08:53.458760+00:00,2026-09-11T04:20:01.817709+00:00
7199aed778fb3eed,wsdc:9552,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:03:28.035657+00:00,2026-09-11T11:03:28.035657+00:00
377d7b9b881720f3,wsdc:9989,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:09:48.585008+00:00,2026-09-10T14:53:17.738805+00:00
