event_id	name	start_m/d/yy	end_m/d/yy	location	results_published	affiliations	event_page
300486940	March Madness JNJ	3/22/25	3/22/25	Kuala Lumpur	True		https://danceconvention.net/eventdirector/en/eventpage/300486940-march-madness-jnj
300907271	Cinema Swing Fest: Sherlock	3/28/26	3/29/26	Россия, Москва, Лисоборье	True		https://danceconvention.net/eventdirector/en/eventpage/300907271-cinema-swing-fest-sherlock
300797311	Swingvasion IV (2026)	3/6/26	3/8/26	Wellington, New Zealand	True		https://danceconvention.net/eventdirector/en/eventpage/300797311-swingvasion-iv-2026
300011200	Swingvasion III (2025)	3/7/25	3/9/25	Wellington, New Zealand	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300011200-swingvasion-iii-2025
300096840	Korean Open WCS Championships 2025	4/10/25	4/13/25	Incheon, South Korea	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300096840-korean-open-wcs-championships-2025
301273272	BRAZUKA SPRING CUP 2026	4/10/26	4/12/26	Moscow, Russia	True		https://danceconvention.net/eventdirector/en/eventpage/301273272-brazuka-spring-cup-2026
300492720	BRAZUKA SPRING CUP 2025	4/12/25	4/12/25	Moscow, Russia	True	BZDC,WZR	https://danceconvention.net/eventdirector/en/eventpage/300492720-brazuka-spring-cup-2025
8590830	Asia WCS Open 2025	4/17/25	4/20/25	Singapore	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/8590830-asia-wcs-open-2025
301246450	Perth Tango Festival	4/17/26	4/17/26	Perth, Australia	False		https://danceconvention.net/eventdirector/en/eventpage/301246450-perth-tango-festival
301297970	VOLGA FLOW FESTIVAL 2026	4/18/26	4/19/26	Россия, Ульяновск	True		https://danceconvention.net/eventdirector/en/eventpage/301297970-volga-flow-festival-2026
301107621	HONEY FEST 2026	4/23/26	4/26/26	Ufa, Russia	True		https://danceconvention.net/eventdirector/en/eventpage/301107621-honey-fest-2026
300225910	HONEY FEST 2025	4/24/25	4/27/25	Ufa, Russia	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300225910-honey-fest-2025
301246451	Zouk One Love 2026	4/30/26	5/3/26	St.Petersburg	True		https://danceconvention.net/eventdirector/en/eventpage/301246451-zouk-one-love-2026
300278470	Cinema Swing Fest: Wonderland	4/5/25	4/6/25	Россия, Москва, Лисоборье	True		https://danceconvention.net/eventdirector/en/eventpage/300278470-cinema-swing-fest-wonderland
301000840	The DownUnder Pros	4/9/26	4/12/26	Melbourne	False		https://danceconvention.net/eventdirector/en/eventpage/301000840-the-downunder-pros
300512920	Zouk One Love 2025	5/1/25	5/4/25	St.Petersburg	True	BZDC,WZR	https://danceconvention.net/eventdirector/en/eventpage/300512920-zouk-one-love-2025
300454681	BeeMAD 2025	5/1/25	5/4/25	Madrid, Spain	False	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300454681-beemad-2025
300760260	Swingsation 2026	5/15/26	5/18/26	Gold Coast, Australia	True		https://danceconvention.net/eventdirector/en/eventpage/300760260-swingsation-2026
