event_id	title	dates_mm_dd_yyyy
75	Valentine Swing 2023	02/17 - 02/19/2023
77	Carnival Swing Cologne 2023	02/10 - 02/12/2023
58	Budafest 2023	01/11 - 01/16/2023
57	Westie Gala 2023	01/06 - 01/09/2023
72	SwingVester 2022/23	12/28/2022-01/02/2023
73	Global Grand Prix Swing Dance Championships 2022	12/15 - 12/18/2022
56	Berlin Swing Revolution 2022	12/08 - 12/11/2022
55	Scandinavian Open WCS 2022 [SNOW 2022]	11/03 - 11/07/2022
71	Warsaw Halloween Swing 2022	10/27 - 10/31/2022
54	WCS Festival Düsseldorf 2022	10/14 - 10/16/2022
70	Midland Swing Open 2022	09/30 - 10/03/2022
68	Finnfest 2022	09/23 - 09/26/2022
69	Cologne Swing Weekend 2022	09/23 - 09/25/2022
46	Bavarian Open 2022	09/08 - 09/12/2022
67	UpTown Swing 2022	08/12 - 08/15/2022
53	German Open 2022	08/04 - 08/07/2022
64	SwingTime 2022	07/22 - 07/25/2022
66	NeverlandSwing 2022	06/30 - 07/04/2022
65	Baltic Swing 2022	06/24 - 06/27/2022
51	D-Town Swing 2022	06/16 - 06/20/2022
62	Nordic WCS Championships 2022	05/06 - 05/09/2022
63	SwingIn - Festival 2022	04/22 - 04/24/2022
61	Detonation Dance 2022	04/21 - 04/25/2022
60	South Westie Swing 2022	04/15 - 04/17/2022
59	Normandie On West	03/26/2022
52	Westie Spring Thing 2022	03/10 - 03/14/2022
44	Budafest 2022	01/05 - 01/09/2022
48	Berlin Swing Revolution 2021	12/09 - 12/13/2021
49	The After Party 2021 [TAP2021]	12/02 - 12/06/2021
47	Scandinavian Open WCS 2021 [SNOW 2021]	11/05 - 11/08/2021
50	Warsaw Halloween Swing 2021	10/28 - 11/01/2021
45	Midland Swing Open 2021	09/23 - 09/26/2021
42	German Open 2021	08/05 - 08/08/2021
40	German Open 2020	08/06 - 08/09/2020
41	Swing Generations 2020	07/31 - 08/02/2020
36	NeverlandSwing 2020	06/18 - 06/22/2020
37	Baltic Swing 2020	06/11 - 06/15/2020
33	Hungarian Open 2020	05/08 - 05/10/2020
34	BOTP - Balboa On The Promenade 2020	05/07 - 05/11/2020
39	Detonation Dance 2020	04/24 - 04/27/2020
32	Cologne Zouk Festival 2020	04/10 - 04/14/2020
30	Westie Spring Thing 2020	03/12 - 03/16/2020
31	Carnival Swing Cologne 2020	02/14 - 02/17/2020
38	Seattle Ticket Kickoff	02/01 - 02/02/2020
29	Municorn Swing 2020	01/23 - 01/27/2020
35	Workshop Weekend Heidelberg Januar 2020	01/18 - 01/19/2020
28	SwingCouver 2020	01/09 - 01/12/2020
25	Budafest 2020	01/02 - 01/06/2020
20	SwingVester 2019/20	12/27/2019-01/02/2020
27	Berlin Swing Revolution 2019	12/12 - 12/15/2019
21	CozySwing 2019	12/05 - 12/08/2019
18	TAF Deutsche Meisterschaft West Coast Swing 2019	11/16/2019
24	Bull swinging Bear Festival 2019	11/08 - 11/10/2019
22	Warsaw Halloween Swing 2019	10/31 - 11/04/2019
23	Bavarian Open 2019	09/12 - 09/15/2019
17	TAF German Masters West Coast Swing Nord 2019	09/07/2019
19	German Open 2019	08/08 - 08/11/2019
10	NeverlandSwing 2019	06/27 - 07/01/2019
16	TAF German Masters West 2019	05/25/2019
12	Workshop Weekend Weinstadt Mai 2019	05/11 - 05/12/2019
15	3.TAF Schleswig Cup West Coast Swing 2019	05/11/2019
14	Zouk 1st German Open Championship 2019	04/19 - 04/22/2019
13	INTAKO 2019	04/14 - 04/18/2019
11	Workshop Weekend Heidelberg April 2019	04/06 - 04/07/2019
7	West in Lyon 2019	03/15 - 03/17/2019
9	Carnival Swing Cologne 2019	02/23/2019
8	Workshopweekend Heidelberg Jan2019	01/19/2019
6	SwingVester 2018	12/28/2018
5	CozySwing 2018	11/30/2018
4	Pure Bachata Summer Festival Cologne	07/28/2018
3	Cologne Zouk Festival	05/12/2018
2	Carnival Swing 2018	02/03/2018
