cancelled,end_date,event_key,in_published_events,lead_only_warning,name,period,possible_published_matches,research_confidence,research_edition_held,research_flags,research_has_results,research_platform,research_results_url,research_status
False,2025-10-19,2025-10-montreal-westie-fest,True,research lead; not accepted source evidence,Montreal Westie Fest,past,,medium,,,true,worlddanceregistry,https://scores.worlddanceregistry.com/a5dd75a4-87d2-11ef-9a29-0aa72bbce9ea,ended
False,2025-10-06,2025-10-norwegian-open-wcs,False,research lead; not accepted source evidence,Norwegian Open WCS,past,,high,,event-trial,true,scoring.dance,https://scoring.dance/enUS/events/317/results/,ended
False,2025-10-12,2025-10-paradise-dance-festival,False,research lead; not accepted source evidence,Paradise dance festival,past,,high,,,true,event_website,http://www.paradisecountrydancefestival.com/results,ended
False,2025-10-26,2025-10-sass-spooky-albany-swing-spectacular,False,research lead; not accepted source evidence,SASS Spooky Albany Swing Spectacular,past,,high,,event-trial,true,eepro,https://eepro.com/results/event.php?event=sass2025,ended
False,2025-10-26,2025-10-swing-city-chicago,True,research lead; not accepted source evidence,Swing City Chicago,past,,high,,,true,worlddanceregistry,https://scores.worlddanceregistry.com/fe9b06d3-4273-11f0-9a29-0aa72bbce9ea,ended
False,2025-10-27,2025-10-swingside-invitational,True,research lead; not accepted source evidence,Swingside Invitational,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/313/results/,ended
False,2025-10-19,2025-10-swustlicious,True,research lead; not accepted source evidence,Swustlicious,past,,high,,,true,worlddanceregistry,https://scores.worlddanceregistry.com/82889a58-f8bd-11ef-9a29-0aa72bbce9ea,ended
False,2025-10-12,2025-10-the-aloha-open,False,research lead; not accepted source evidence,The Aloha Open,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/238/results/,ended
False,2025-10-19,2025-10-the-new-zealand-west-coast-swing-open,False,research lead; not accepted source evidence,The New Zealand West Coast Swing Open,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300426000-the-nz-wcs-open-2025/results,ended
False,2025-10-26,2025-10-wcs-festival,False,research lead; not accepted source evidence,WCS Festival,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/320/results/,ended
False,2025-11-09,2025-11-autumn-swing-challenge,True,research lead; not accepted source evidence,Autumn Swing Challenge,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/325/results/,ended
False,2025-11-30,2025-11-cash-bash,False,research lead; not accepted source evidence,CASH Bash,past,,low,unknown,,false,not_found,,ended
False,2025-11-16,2025-11-dc-swing-experience-dcsx,False,research lead; not accepted source evidence,DC Swing eXperience (DCSX),past,2025-11-dc-swing-experience,high,,,true,eepro,https://eepro.com/results/dcsx2025/strictly.html,ended
False,2025-11-16,2025-11-flowstate-west-coast-swing-zouk-festival,False,research lead; not accepted source evidence,Flowstate | West Coast Swing & Zouk Festival,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/330/results/,ended
False,2025-11-16,2025-11-midnight-madness-wcs,False,research lead; not accepted source evidence,Midnight Madness WCS,past,2025-11-midnight-madness,high,,,true,eepro,https://eepro.com/results/event.php?event=mm2025,ended
False,2025-11-10,2025-11-moscow-westie-fest-gala-edition,False,research lead; not accepted source evidence,Moscow Westie Fest Gala Edition,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300632160/results,ended
False,2025-11-02,2025-11-mountain-magic-dance-convention,False,research lead; not accepted source evidence,Mountain Magic Dance Convention,past,,high,yes,,true,google_drive_or_sheets,https://drive.google.com/drive/folders/1NQvpnba1bLm5RD2_3rOSPBEmHk5fnfPy,ended
False,2025-11-23,2025-11-northeast-swing-classic,False,research lead; not accepted source evidence,Northeast Swing Classic,past,,high,,event-trial,true,eepro,https://eepro.com/results/event.php?event=nsc2025,ended
False,2025-11-02,2025-11-rocket-city-swing,True,research lead; not accepted source evidence,Rocket City Swing,past,,high,,,true,worlddanceregistry,https://scores.worlddanceregistry.com/163ba964-df59-11ef-9a29-0aa72bbce9ea/awards,ended
False,2025-11-02,2025-11-scandinavian-open-wcs-snow,False,research lead; not accepted source evidence,"Scandinavian Open WCS ""SNOW""",past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/312/results/,ended
False,2025-11-17,2025-11-sea-to-sky-seattle,False,research lead; not accepted source evidence,Sea to Sky Seattle (Hiatus),past,,high,no,,false,not_held,,hiatus
False,2025-11-09,2025-11-simply-adelaide-west-coast-swing,False,research lead; not accepted source evidence,Simply Adelaide West Coast Swing,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300368331-simply-adelaide-west-coast-swing/results,ended
False,2025-11-02,2025-11-spooky-westie-weekend,False,research lead; not accepted source evidence,Spooky Westie Weekend,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300650011-spooky-westie-weekend-2025/results,ended
False,2025-11-09,2025-11-tampa-bay-classic,False,research lead; not accepted source evidence,Tampa Bay Classic,past,,medium,,,true,other,https://www.floridaclassicseries.com/2025/09/24/tbc-results-2/,ended
False,2025-11-30,2025-11-the-open-world-swing-dance-championships,False,research lead; not accepted source evidence,The Open World Swing Dance Championships,past,,high,,,true,eepro,https://eepro.com/results/event.php?event=theopen2025,ended
False,2025-11-03,2025-11-warsaw-halloween-swing,False,research lead; not accepted source evidence,Warsaw Halloween Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/324/results/,ended
False,2025-11-16,2025-11-westie-pink-city,True,research lead; not accepted source evidence,Westie Pink City,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/316/results/,ended
False,2025-11-10,2025-11-westie-s-angels,True,research lead; not accepted source evidence,Westie's Angels,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/314/results/,ended
False,2025-12-14,2025-12-berlin-swing-revolution,True,research lead; not accepted source evidence,Berlin Swing Revolution,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/347/results/,ended
False,2025-12-15,2025-12-global-grand-prix-west-coast-swing-championships,False,research lead; not accepted source evidence,Global Grand Prix - West Coast Swing Championships,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/323/results/,ended
False,2025-12-15,2025-12-santa-swing,True,research lead; not accepted source evidence,Santa Swing,past,,high,,event-trial,true,scoring.dance,https://scoring.dance/enUS/events/328/results/,ended
False,2025-12-08,2025-12-shooba-dooba-swing,False,research lead; not accepted source evidence,Shooba Dooba Swing,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300926550/results,ended
False,2025-12-07,2025-12-the-after-party-tap,False,research lead; not accepted source evidence,"The After Party ""TAP""",past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300821000/results,ended
False,2025-12-08,2025-12-winter-white-west-coast-swing,False,research lead; not accepted source evidence,Winter White West Coast Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/342/results/,ended
False,2026-01-19,2026-01-austin-swing-dance-championships,True,research lead; not accepted source evidence,Austin Swing Dance Championships,past,,high,,,true,eepro,https://eepro.com/results/event.php?event=asdc2026,ended
False,2026-01-18,2026-01-avignon-city-swing,True,research lead; not accepted source evidence,Avignon City Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/334/results/,ended
False,2026-01-11,2026-01-budafest-open-wcs-championships,False,research lead; not accepted source evidence,BudaFest Open WCS Championships,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/354/results/,ended
False,2026-01-04,2026-01-countdown-swing-boston,True,research lead; not accepted source evidence,Countdown Swing Boston,past,2026-01-countdown-swing-boston,high,,,true,eepro,https://eepro.com/results/event.php?event=countdown2025,ended
False,2026-01-25,2026-01-derby-city-swing,True,research lead; not accepted source evidence,Derby City Swing,past,2026-01-derby-city-swing,high,,,true,eepro,https://eepro.com/results/event.php?event=derby2026,ended
