contest_type,count,division,eligible,follower_points_missing,has_registry_F_evidence,has_registry_numeric_evidence,leader_points_missing,points_matches_expected,reference_shape,registry_confirmed,source
jack_and_jill,11,novice,False,True,False,True,True,,follower,False,wdr
jack_and_jill,18,novice,False,True,True,False,True,,follower,False,wdr
jack_and_jill,57,novice,False,True,False,False,True,,leader,False,wdr
jack_and_jill,6,novice,False,True,False,True,True,,leader,False,wdr
jack_and_jill,7,novice,False,True,True,False,True,,leader,False,wdr
jack_and_jill,26,novice,False,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,62,novice,True,False,False,True,False,True,leader+follower,True,wdr
jack_and_jill,2,novice,True,True,False,True,False,True,leader+follower,False,wdr
jack_and_jill,1,novice,True,False,False,True,True,True,leader+follower,False,wdr
jack_and_jill,11,novice,True,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,103,novice,True,True,True,False,True,,leader+follower,False,wdr
jack_and_jill,11,open,False,True,False,False,True,,leader+follower,False,wdr
other,12,none,False,True,False,False,True,,leader+follower,False,wdr
other,17,open,False,True,False,False,True,,leader+follower,False,wdr
rising_star,16,none,False,True,False,False,True,,leader+follower,False,wdr
rising_star,5,open,False,True,False,False,True,,leader+follower,False,wdr
showcase,3,none,False,True,False,False,True,,leader+follower,False,wdr
strictly,41,advanced,False,True,False,False,True,,leader+follower,False,wdr
strictly,21,advanced,False,True,False,True,True,,leader+follower,False,wdr
strictly,11,advanced,False,True,True,False,True,,leader+follower,False,wdr
strictly,2,advanced,False,True,True,True,True,,leader+follower,False,wdr
strictly,21,allstar,False,True,False,False,True,,leader+follower,False,wdr
strictly,26,allstar,False,True,False,True,True,,leader+follower,False,wdr
strictly,8,allstar,False,True,True,False,True,,leader+follower,False,wdr
strictly,2,allstar,False,True,True,True,True,,leader+follower,False,wdr
strictly,4,champion,False,True,False,False,True,,leader+follower,False,wdr
strictly,5,champion,False,True,False,True,True,,leader+follower,False,wdr
strictly,170,intermediate,False,True,False,False,True,,leader+follower,False,wdr
strictly,30,intermediate,False,True,False,True,True,,leader+follower,False,wdr
strictly,47,intermediate,False,True,True,False,True,,leader+follower,False,wdr
strictly,4,intermediate,False,True,True,True,True,,leader+follower,False,wdr
strictly,174,newcomer,False,True,False,False,True,,leader+follower,False,wdr
strictly,235,none,False,True,False,False,True,,leader+follower,False,wdr
strictly,247,novice,False,True,False,False,True,,leader+follower,False,wdr
strictly,23,novice,False,True,False,True,True,,leader+follower,False,wdr
strictly,42,novice,False,True,True,False,True,,leader+follower,False,wdr
strictly,6,novice,False,True,True,True,True,,leader+follower,False,wdr
strictly,72,open,False,True,False,False,True,,leader+follower,False,wdr
