contest_id,entry_id,event_id,link_status,name_raw,published_wsdc_id,role,source
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-108,2024-06-disco-america,unmatched,Andrea Clemens and Daniel McGee,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-144,2024-06-disco-america,unmatched,Rachael Palilio and Roberto Pagan,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-225,2024-06-disco-america,unmatched,Patricia Fortier and Danny McGee,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-231,2024-06-disco-america,unmatched,Renee George and Rainer Trubere,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-236,2024-06-disco-america,unmatched,Jaime Goodrich and Abdiel Jacobs,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-254,2024-06-disco-america,unmatched,Gianna Granato and Daniel McGee,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-255,2024-06-disco-america,unmatched,Denise Higgins and Steven James,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-256,2024-06-disco-america,unmatched,Karen Mirabelli and Daniel McGee,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-268,2024-06-disco-america,unmatched,Marla Conley and Lori Ann Roche,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-277,2024-06-disco-america,unmatched,Rose Burns and Jaime Serna,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-283,2024-06-disco-america,unmatched,Marina Zats and Jaime Serna,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-291,2024-06-disco-america,unmatched,Maria Hurd and Daniel Mc Gee,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-98,2024-06-disco-america,unmatched,Jennifer Yeager and Michael Petroski,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-name-kaydee-molnar-and-nick-pfeiffer,2024-06-disco-america,unmatched,Kaydee Molnar and Nick Pfeiffer,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-leader-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-leader-hustle-silver-50/L-221,2024-06-disco-america,unmatched,James Patrick and Taryn Rucinski,,leader,eepro
